time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-6,5,4,-8,-6,8,4,-6,-7,-7,-7,-4
1.0,-6,5,4,-5,-6,13,4,-6,-7,-7,-7,-4
2.0,-6,5,3,-5,-6,15,4,-6,-7,-7,-7,-4
3.0,-6,5,3,-6,-7,18,5,-6,-7,-7,-7,-4
4.0,-6,5,3,-5,-8,18,5,-6,-7,-7,-7,-4
5.0,-6,4,3,-5,-8,18,4,-6,-6,-6,-7,-4
6.0,-6,4,3,-6,-8,19,4,-5,-5,-5,-6,-3
7.0,-6,4,3,-7,-9,17,4,-5,-4,-5,-6,-2
8.0,-6,4,4,-9,-9,15,4,-6,-3,-4,-6,-2
9.0,-6,5,4,-13,-9,15,4,-6,-2,-4,-5,-1
10.0,-6,5,7,-15,-9,15,3,-6,-2,-3,-5,0
11.0,-6,6,9,-16,-9,15,4,-7,-2,-2,-4,0
12.0,-6,8,9,-14,-9,16,3,-8,-2,-2,-4,0
13.0,-5,11,12,-14,-10,16,-3,-8,-4,-2,-4,0
14.0,-5,10,12,-14,-10,17,-4,-8,-6,-3,-4,0
15.0,-4,11,14,-13,-11,17,-4,-9,-8,-5,-4,-1
16.0,-4,14,14,-12,-12,18,-3,-9,-10,-7,-6,-1
17.0,-4,16,15,-12,-12,18,-3,-9,-11,-9,-8,-4
18.0,-3,19,15,-11,-13,18,-3,-9,-12,-10,-9,-5
19.0,-3,23,15,-10,-13,18,-3,-9,-12,-11,-10,-6
20.0,-3,25,14,-10,-14,19,-3,-9,-13,-12,-11,-7
21.0,-2,26,14,-9,-14,19,-2,-10,-14,-14,-11,-9
22.0,0,25,14,-9,-14,20,-2,-10,-14,-13,-11,-10
23.0,0,23,14,-9,-14,24,-1,-10,-15,-13,-14,-10
24.0,0,19,16,-9,-15,26,0,-11,-15,-14,-12,-9
25.0,0,19,17,-9,-17,29,1,-11,-15,-14,-13,-9
26.0,0,18,18,-8,-23,32,1,-11,-15,-14,-13,-9
